2026-04-14 20:20:06.757 | INFO     | __main__:test_llm:8 - Sending prompt to LLM: What is the capital of France?
2026-04-16 12:49:47.026 | ERROR    | __main__:<module>:167 - Traceback (most recent call last):
  File "C:\Users\sachi\OneDrive\Desktop\research_agent_backend\app\agents\research_agent.py", line 155, in <module>
    result = research_agent.invoke({"topic": topic})
  File "C:\Users\sachi\OneDrive\Desktop\research_agent_backend\.venv\Lib\site-packages\langgraph\pregel\main.py", line 3309, in invoke
    for chunk in self.stream(
                 ~~~~~~~~~~~^
        input,
        ^^^^^^
    ...<10 lines>...
        **kwargs,
        ^^^^^^^^^
    ):
    ^
  File "C:\Users\sachi\OneDrive\Desktop\research_agent_backend\.venv\Lib\site-packages\langgraph\pregel\main.py", line 2736, in stream
    for _ in runner.tick(
             ~~~~~~~~~~~^
        [t for t in loop.tasks.values() if not t.writes],
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
    ...<2 lines>...
        schedule_task=loop.accept_push,
        ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
    ):
    ^
  File "C:\Users\sachi\OneDrive\Desktop\research_agent_backend\.venv\Lib\site-packages\langgraph\pregel\_runner.py", line 167, in tick
    run_with_retry(
    ~~~~~~~~~~~~~~^
        t,
        ^^
    ...<10 lines>...
        },
        ^^
    )
    ^
  File "C:\Users\sachi\OneDrive\Desktop\research_agent_backend\.venv\Lib\site-packages\langgraph\pregel\_retry.py", line 126, in run_with_retry
    return task.proc.invoke(task.input, config)
           ~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\sachi\OneDrive\Desktop\research_agent_backend\.venv\Lib\site-packages\langgraph\_internal\_runnable.py", line 656, in invoke
    input = context.run(step.invoke, input, config, **kwargs)
  File "C:\Users\sachi\OneDrive\Desktop\research_agent_backend\.venv\Lib\site-packages\langgraph\_internal\_runnable.py", line 400, in invoke
    ret = self.func(*args, **kwargs)
  File "C:\Users\sachi\OneDrive\Desktop\research_agent_backend\app\agents\research_agent.py", line 104, in research_node
    raw = List[dict] = []
          ~~~~^^^^^^
TypeError: '_SpecialGenericAlias' object does not support item assignment
During task with name 'research' and id 'b761df8a-9ec1-4e95-8e42-aa6af5a81dd0'

2026-04-16 12:50:01.831 | INFO     | app.services.llm.llm_manager:<module>:7 - Environment variables loaded
2026-04-16 12:50:03.148 | SUCCESS  | app.services.llm.llm_manager:<module>:12 - LLM initialized successfully: gemini-2.5-flash
2026-04-16 12:50:03.342 | INFO     | __main__:<module>:151 - {'event': 'agent_execution_started', 'topic': 'AI in healthcare'}
2026-04-16 12:50:03.347 | INFO     | __main__:router_node:40 - {'event': 'router_node_started', 'topic': 'AI in healthcare'}
2026-04-16 12:50:08.517 | INFO     | __main__:router_node:54 - {'event': 'router_llm_response', 'decision': {'need_to_research': True, 'mode': 'hybrid', 'reason': "The topic 'AI in healthcare' involves rapidly evolving technologies, new applications, recent research breakthroughs, ethical considerations, and regulatory updates, which require up-to-date information to provide a comprehensive and relevant overview.", 'queries': ['Latest AI applications in healthcare', 'Recent advancements in AI for medical diagnosis', 'AI tools for drug discovery and development current trends', 'Ethical considerations of AI in healthcare recent developments', 'Regulatory landscape for AI in healthcare current status', 'Impact of generative AI on healthcare', 'Challenges of AI adoption in healthcare'], 'max_result_per_query': 7}}
2026-04-16 12:50:08.518 | SUCCESS  | __main__:router_node:69 - {'event': 'router_node_success', 'topic': 'AI in healthcare', 'mode': 'hybrid', 'needs_research': True, 'queries_count': 7, 'duration_sec': 5.17}
2026-04-16 12:50:08.519 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:61 - {'event': 'duckduckgo_search_started', 'query': 'Latest AI applications in healthcare', 'max_results': 5}
2026-04-16 12:50:10.161 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:86 - {'event': 'duckduckgo_search_success', 'query': 'Latest AI applications in healthcare', 'results_count': 4, 'duration_sec': 1.64}
2026-04-16 12:50:10.161 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:61 - {'event': 'duckduckgo_search_started', 'query': 'Recent advancements in AI for medical diagnosis', 'max_results': 5}
2026-04-16 12:50:11.699 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:86 - {'event': 'duckduckgo_search_success', 'query': 'Recent advancements in AI for medical diagnosis', 'results_count': 4, 'duration_sec': 1.54}
2026-04-16 12:50:11.700 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:61 - {'event': 'duckduckgo_search_started', 'query': 'AI tools for drug discovery and development current trends', 'max_results': 5}
2026-04-16 12:50:13.046 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:86 - {'event': 'duckduckgo_search_success', 'query': 'AI tools for drug discovery and development current trends', 'results_count': 4, 'duration_sec': 1.35}
2026-04-16 12:50:13.047 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:61 - {'event': 'duckduckgo_search_started', 'query': 'Ethical considerations of AI in healthcare recent developments', 'max_results': 5}
2026-04-16 12:50:14.264 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:86 - {'event': 'duckduckgo_search_success', 'query': 'Ethical considerations of AI in healthcare recent developments', 'results_count': 4, 'duration_sec': 1.22}
2026-04-16 12:50:14.265 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:61 - {'event': 'duckduckgo_search_started', 'query': 'Regulatory landscape for AI in healthcare current status', 'max_results': 5}
2026-04-16 12:50:15.495 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:86 - {'event': 'duckduckgo_search_success', 'query': 'Regulatory landscape for AI in healthcare current status', 'results_count': 4, 'duration_sec': 1.23}
2026-04-16 12:50:15.496 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:61 - {'event': 'duckduckgo_search_started', 'query': 'Impact of generative AI on healthcare', 'max_results': 5}
2026-04-16 12:50:17.433 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:86 - {'event': 'duckduckgo_search_success', 'query': 'Impact of generative AI on healthcare', 'results_count': 4, 'duration_sec': 1.94}
2026-04-16 12:50:17.434 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:61 - {'event': 'duckduckgo_search_started', 'query': 'Challenges of AI adoption in healthcare', 'max_results': 5}
2026-04-16 12:50:20.088 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:86 - {'event': 'duckduckgo_search_success', 'query': 'Challenges of AI adoption in healthcare', 'results_count': 4, 'duration_sec': 2.65}
2026-04-16 12:50:20.089 | ERROR    | __main__:<module>:164 - {'event': 'agent_execution_failed', 'error': 'Expected dict, got [{\'title\': \'Top AI innovations in healthcare Sector | 5 Key Applications\', \'url\': \'https://techvitara.com/ai-innovations-in-healthcare/\', \'snippet\': \'... Intelligence (AI) in healthcare are ... FDA-approved tools like IdX-DR and Viz.AI are some examples of AI applications in healthcare diagnostics.\', \'source\': \'duckduckgo\'}, {\'title\': "Applications are open for \'AI in Healthcare\'", \'url\': \'https://www.clustercollaboration.eu/content/applications-are-open-ai-healthcare-programme\', \'snippet\': \'This short webinar at https://www.chwcluster.ie/ai-in-healthcare-information-webinar-playback/ will outline the programme structure, application ...\', \'source\': \'duckduckgo\'}, {\'title\': \'Top 10 AI Applications Revolutionizing Healthcare in 2025\', \'url\': \'https://www.ainvasion.com/ai-applications-revolutionizing-healthcare/\', \'snippet\': \'Top 10 AI Applications Revolutionizing Healthcare in 2025: Drive 40% Efficiency Gains and Save $360 Billion Annually\', \'source\': \'duckduckgo\'}, {\'title\': \'AI in Healthcare: 2024’s Most Groundbreaking Applications -\', \'url\': \'https://www.hostalky.com/blog/ai-in-healthcare-2024s-most-groundbreaking-applications\', \'snippet\': \'Generative AI is improving clinical applications and significantly reducing administrative burdens in healthcare settings.\', \'source\': \'duckduckgo\'}, {\'title\': \'Artificial intelligence in healthcare - Wikipedia\', \'url\': \'https://en.wikipedia.org/wiki/Artificial_intelligence_in_healthcare\', \'snippet\': \'These include AI Medical Innovation System (AIMIS), an AI-powered diagnostic medical imaging service; WeChat Intelligent Healthcare; and Tencent Doctorwork[153]. Another example, this time in the medical imaging space, is Optellum, an Oxford-based medical technology...\', \'source\': \'duckduckgo\'}, {\'title\': \'Google News - AI chatbots struggle with early medical diagnoses...\', \'url\': \'https://news.google.com/stories/CAAqNggKIjBDQklTSGpvSmMzUnZjbmt0TXpZd1NoRUtEd2pscE5udkVCR1ZBT1hzSzFJYVlDZ0FQAQ?hl=en-US&gl=US&ceid=US:en\', \'snippet\': \'Advancements in Large Language Models Boost Clinical Reasoning Performance.Relying on AI for health advice? Study finds 80% early diagnoses go wrong. 34 minutes ago. By Sarjna Rai.\', \'source\': \'duckduckgo\'}, {\'title\': \'All The Recent Advancements In Medical AI | Analytics India Magazine\', \'url\': \'https://analyticsindiamag.com/deep-tech/all-the-recent-advancements-in-medical-ai\', \'snippet\': \'How Far Is The Future? AI has the potential to transform the delivery of healthcare, from streamlining workflow processes to improving the accuracy of diagnosis and personalising treatment, as well as helping staff work more efficiently and effectively.\', \'source\': \'duckduckgo\'}, {\'title\': \'Exploring the Latest Advancements in AI-Driven Medical Diagnosis...\', \'url\': \'https://www.linkedin.com/pulse/exploring-latest-advancements-ai-driven-medical-diagnosis-drug-83lfc\', \'snippet\': \'Conclusion. AI-driven advancements in medical diagnosis, drug discovery, and personalized treatments are reshaping the future of healthcare. With improved efficiency and precision, these technologies hold immense potential to save lives and enhance patient care.\', \'source\': \'duckduckgo\'}, {\'title\': \'Amazon launches AI research tool to speed early-stage drug discovery | Reuters\', \'url\': \'https://www.reuters.com/business/healthcare-pharmaceuticals/amazon-launches-ai-research-tool-speed-early-stage-drug-discovery-2026-04-14/\', \'snippet\': "1 day ago - April 14 (Reuters) - Amazon\'s (AMZN.O), opens new tab cloud unit on Tuesday launched Amazon Bio Discovery, an artificial intelligence application designed to speed early-stage drug discovery by allowing scientists to run complex computational ...", \'source\': \'duckduckgo\'}, {\'title\': \'How digital tools and AI are accelerating drug discovery\', \'url\': \'https://www.drugdiscoverytrends.com/how-digital-tools-and-ai-are-accelerating-drug-discovery/\', \'snippet\': \'February 12, 2026 - AlphaFold and other generative AI tools transformed structure prediction and molecular design. One estimate projects the AI drug discovery market to grow from $4.6 billion in 2025 to $49.5 billion by 2034 at a CAGR of 30%.\', \'source\': \'duckduckgo\'}, {\'title\': \'Artificial Intelligence in Drug Discovery Market: Trends, Growth, and Forecast - PharmiWeb.com\', \'url\': \'https://www.pharmiweb.com/press-release/2026-04-13/artificial-intelligence-in-drug-discovery-market-trends-growth-and-forecast\', \'snippet\': \'3 days ago - AI companies bring advanced algorithms, machine learning models, and data analytics tools to the table, enabling the optimization of various stages of drug discovery—from target identification to clinical trials.\', \'source\': \'duckduckgo\'}, {\'title\': \'Building biology-native data infrastructure for the AI era - Bessemer Venture Partners\', \'url\': \'https://www.bvp.com/atlas/building-biology-native-data-infrastructure-for-the-ai-era\', \'snippet\': \'1 day ago - The limiting factor in drug development has never been a shortage of hypotheses, but rather a shortage of the resources to evaluate them effectively and efficiently. Machine learning in drug design holds the promise to change that math by accelerating iteration and improving the odds of success. Between 2012 and 2022, approximately 200 companies that leveraged AI for drug discovery raised a collective $18B.\', \'source\': \'duckduckgo\'}, {\'title\': \'Frontiers | Ethics of AI in healthcare: a scoping review demonstrating applicability of a foundational framework\', \'url\': \'https://www.frontiersin.org/journals/digital-health/articles/10.3389/fdgth.2025.1662642/full\', \'snippet\': \'August 25, 2025 - In this scoping review of 227 articles, we found that the four well-established principles of biomedical ethics (Beneficence, Non-Maleficence, Respect for Autonomy, and Justice) can provide a useful foundational framework for ethical application ...\', \'source\': \'duckduckgo\'}, {\'title\': \'Ethical and legal considerations in healthcare AI: innovation and policy for safe and fair use | Royal Society Open Science | The Royal Society\', \'url\': \'https://royalsocietypublishing.org/rsos/article/12/5/241873/235732/Ethical-and-legal-considerations-in-healthcare-AI\', \'snippet\': \'May 1, 2025 - Without clear accountability frameworks, the deployment of AI in critical healthcare functions risks undermining trust and ethical integrity. These foundational works underscore the need for a comprehensive approach that combines ethical principles ...\', \'source\': \'duckduckgo\'}, {\'title\': \'Frontiers | Ethical-legal implications of AI-powered healthcare in critical perspective\', \'url\': \'https://www.frontiersin.org/journals/artificial-intelligence/articles/10.3389/frai.2025.1619463/full\', \'snippet\': \'June 17, 2025 - This signals that AI-powered healthcare is the future (Singhal et al., 2023). Nonetheless, the burgeoning technological developments have spurred a range of ethical and legal concerns warranting critical examination (Hanna et al., 2025). This paper examines the questions of choice and responsibility arising with the large-scale collection and use of data by AI. It argues that by prioritizing ethical considerations in the development and deployment of AI, medical professionals can enhance health outcomes and cultivate patient trust, thereby bridging the gap between technological advancements and nuanced healthcare realities (Collins et al., 2024).\', \'source\': \'duckduckgo\'}, {\'title\': \'AI in healthcare: legal and ethical considerations at the new frontier\', \'url\': \'https://www.aoshearman.com/en/insights/ao-shearman-on-life-sciences/ai-in-healthcare-legal-and-ethical-considerations-at-the-new-frontier\', \'snippet\': \'October 23, 2025 - It is therefore important to take a considered, nuanced approach when determining how any human-in-the-loop process flow should operate. AI offers significant benefits in healthcare but also presents legal and ethical challenges that must be navigated. Collaborative efforts among policymakers, healthcare professionals, AI developers, and legal experts are essential to establish robust frameworks that safeguard patient rights and promote equitable access to advanced healthcare technologies.\', \'source\': \'duckduckgo\'}, {\'title\': \'Artificial Intelligence in Healthcare: Current Regulatory Landscape and Future Directions - PubMed\', \'url\': \'https://pubmed.ncbi.nlm.nih.gov/40847984/\', \'snippet\': \'August 25, 2025 - To create standards that encourage innovation and address ethical and security concerns, collaboration between policymakers, AI developers and healthcare providers has a vital role. In this review, it was presented an overview of the current regulatory landscape for AI in healthcare, focusing primarily on frameworks in the European Union (EU), the United States (USA), and the United Kingdom (UK), which are leading countries in this regard.\', \'source\': \'duckduckgo\'}, {\'title\': \'Artificial intelligence in healthcare faces regulatory challenges: balancing innovation with human oversight - ScienceDirect\', \'url\': \'https://www.sciencedirect.com/science/article/pii/S3050708126000273\', \'snippet\': \'March 5, 2026 - Layered regulatory developments, notably the Medical Device Regulation of 2021 and the AI Act of 2024, have introduced stricter requirements for traceability, clinical performance, risk management, transparency, and human oversight.\', \'source\': \'duckduckgo\'}, {\'title\': \'The evolving regulatory landscape for artificial intelligence-enabled devices in the United States - ScienceDirect\', \'url\': \'https://www.sciencedirect.com/science/article/pii/S2949912725001072\', \'snippet\': \'September 12, 2025 - As artificial intelligence (AI) and machine learning methods spur ever-increasing and improving medical devices for use by physicians, the regulatory …\', \'source\': \'duckduckgo\'}, {\'title\': \'Regulatory Landscape for AI-enabled MedTech in APAC | Insights | Ropes & Gray LLP\', \'url\': \'https://www.ropesgray.com/en/insights/viewpoints/102k97d/regulatory-landscape-for-ai-enabled-medtech-in-apac\', \'snippet\': \'April 23, 2025 - Its National Artificial Intelligence Strategy 2.0 maps out Singapore’s commitment to building a trusted and responsible AI ecosystem, while its Artificial Intelligence in Healthcare Guidelines aim to improve understanding, codify good practice and support the safe growth of AI in healthcare. South Korea: The Digital Medical Products Act (January 2025) provides the basis for a regulatory framework governing digital medical devices.\', \'source\': \'duckduckgo\'}, {\'title\': \'Generative artificial intelligence - Wikipedia\', \'url\': \'https://en.wikipedia.org/wiki/Generative_artificial_intelligence\', \'snippet\': \'In healthcare, generative models are used in drug discovery research and in the creation of synthetic medical data for training diagnostic systems. In finance, they assist with report drafting, data generation, and customer service automation.\', \'source\': \'duckduckgo\'}, {\'title\': \'7 Things To Expect From AI In Healthcare This Year\', \'url\': \'https://www.linkedin.com/pulse/7-things-expect-from-ai-healthcare-year-bertalan-meskó-md-phd-ylrme\', \'snippet\': \'Generative AI has sparked a lot of interest among healthcare companies, particularly in patient management and chatbots.With major healthcare and tech companies launching generative AI platforms for patients, I expect the trust factor to improve throughout 2024.\', \'source\': \'duckduckgo\'}, {\'title\': \'How Generative AI + Quantified-Self Transforms Healthcare and...\', \'url\': \'https://www.linkedin.com/pulse/how-generative-ai-quantified-self-transforms-healthcare-flora-bui-47s4c\', \'snippet\': \'AI-powered health apps can analyze our activity levels, sleep patterns, and dietary habits to provide personalized fitness and nutrition advice.The impact of Generative AI on healthcare is truly transformative.\', \'source\': \'duckduckgo\'}, {\'title\': \'Generative AI is finding fertile soil in the healthcare... - Fast Company\', \'url\': \'https://www.fastcompany.com/91358402/generative-ai-is-finding-fertile-soil-in-the-healthcare-industry\', \'snippet\': \'Bringing AI to the doctor’s appointment. AI in healthcare is top of mind this week, thanks to a viral story on Reddit about a man who said ChatGPT saved his wife’s life. She had undergone a cyst removal and wasn’t feeling well, but was on an antibiotic and decided to “wait it out.”\', \'source\': \'duckduckgo\'}, {\'title\': \'Challenges of AI Adoption in Healthcare - Simonandstingtour\', \'url\': \'https://simonandstingtour.com/challenges-of-ai-adoption-in-healthcare/\', \'snippet\': \'This article explores the multifaceted challenges of AI adoption in healthcare, providing a comprehensive overview of the barriers to implementation ...\', \'source\': \'duckduckgo\'}, {\'title\': \'Understanding AI Adoption Challenges in Modern Healthcare\', \'url\': \'https://www.kandasoft.com/blog/challenges-of-ai-adoption-in-healthcare\', \'snippet\': \'With so many high-profile successes touting the promise of AI in healthcare, developers can too easily underestimate the challenges that must be ...\', \'source\': \'duckduckgo\'}, {\'title\': \'The Three Challenges to AI Adoption in Healthcare - Future\', \'url\': \'https://futurehealthcaretoday.com/the-three-challenges-to-ai-adoption-in-healthcare/\', \'snippet\': \'To overcome the challenges associated with AI adoption and implementation healthcare organizations need the right infrastructure and management.\', \'source\': \'duckduckgo\'}, {\'title\': \'Healthcare AI adoption up, but data and integration challenges\', \'url\': \'https://www.healthcareitnews.com/news/healthcare-ai-adoption-data-and-integration-challenges-persist\', \'snippet\': \'... these advances, challenges remain, with around 47% of healthcare leaders citing data quality and integration issues as major barriers to AI adoption ...\', \'source\': \'duckduckgo\'}]\nFor troubleshooting, visit: https://docs.langchain.com/oss/python/langgraph/errors/INVALID_GRAPH_NODE_RETURN_VALUE'}
